id,storage_path,public_url,original_filename,content_type,uploaded_by,created_at,sha256_hash,phash,meta_categories,meta_tags,meta_alternative_names,meta_plural,meta_countability,meta_level,meta_word_type,meta_skills,meta_past_tense,meta_notes,meta_item_name
01854058-644b-467b-98e8-2179067ac473,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/199f7005-11f9-489f-8386-c06c9f25aa24-hedgehog.png,https://vmqvhzghfbwcfnxittta.supabase.co/storage/v1/object/public/lesson_media/8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/199f7005-11f9-489f-8386-c06c9f25aa24-hedgehog.png,hedgehog.png,image/png,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f,2026-05-02 10:09:04.754294+00,a94c9f44dd444978532e41fcc3e4f36c31ec4432f3f1d42a3b822f6d28a4fe11,00f0d4daca9ecc00,"[""animals"",""zoo""]","[""flashcard"",""vocabulary""]",[],hedgehogs,countable,A2,noun,"[""vocabulary""]",,,Hedgehog
018c559e-3ba2-4770-b9ed-2ecf8e47ad03,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/c53006f8-1f23-435b-8728-fcd8da027a0d-parrot.png,https://vmqvhzghfbwcfnxittta.supabase.co/storage/v1/object/public/lesson_media/8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/c53006f8-1f23-435b-8728-fcd8da027a0d-parrot.png,parrot.png,image/png,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f,2026-04-30 18:43:03.018647+00,f86e3bcbb4e9fec2c7db69bf1ba110fbdb265de619a6f1fdf1e743d3bcc8f9aa,180c2e06270f1101,"[""animals"",""birds"",""pets""]","[""flashcard"",""vocabulary""]",[],parrots,countable,A1,noun,"[""vocabulary""]",,,Parrot
01a327c4-ba7d-4097-bc0b-ea92bc1d8e83,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/eab83ce5-b40b-4ed2-8bf0-76e50ba55f85-Green.png,https://vmqvhzghfbwcfnxittta.supabase.co/storage/v1/object/public/lesson_media/8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/eab83ce5-b40b-4ed2-8bf0-76e50ba55f85-Green.png,Green.png,image/png,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f,2026-04-30 20:10:03.991798+00,08758e7d3bf64827288f7dfbfe720d989088fa103ade5e0541686c1b6951bccd,c0808080808080c0,"[""colors""]","[""flashcard"",""vocabulary""]",[],na,na,A1,adjective,"[""vocabulary""]",,,Green
01b5fc70-d91f-4534-acd7-326f980fa4e9,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/317508be-9f50-44b0-99e8-406f6275cb0f-lizard.png,https://vmqvhzghfbwcfnxittta.supabase.co/storage/v1/object/public/lesson_media/8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/317508be-9f50-44b0-99e8-406f6275cb0f-lizard.png,lizard.png,image/png,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f,2026-04-30 18:43:00.485064+00,0f29cd53d8d97ca7693d4bcf488f198f007ff4a55a5dcd562aad8a1fbc908653,005422119a421400,"[""animals"",""zoo""]","[""flashcard"",""vocabulary""]",[],lizards,countable,A1,noun,"[""vocabulary""]",,,Lizard
0203fc05-9a92-461d-892c-a02321f8877d,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/26de27f9-ad01-4ef2-be66-8c160ca35c9f-teacher.png,https://vmqvhzghfbwcfnxittta.supabase.co/storage/v1/object/public/lesson_media/8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/26de27f9-ad01-4ef2-be66-8c160ca35c9f-teacher.png,teacher.png,image/png,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f,2026-04-30 18:42:41.747431+00,9636fd650486339915cbc1037b68ce66cc20db129ca50362c563127f00449cb4,104d351db9021111,"[""jobs"",""people""]","[""characters"",""vocabulary""]",[],teachers,countable,A1,noun,"[""vocabulary""]",,,Teacher
0297f7c1-7d6f-4f51-8dc9-1d1689921464,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/c59a45d3-b786-41d1-be2b-67671eb68056-cover.png,https://vmqvhzghfbwcfnxittta.supabase.co/storage/v1/object/public/lesson_media/8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/c59a45d3-b786-41d1-be2b-67671eb68056-cover.png,cover.png,image/png,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f,2026-04-30 18:42:25.76726+00,f7a5a3a018f912951b31b87868c46f2a81ade468eafef2273269ce45ad8ad649,ece814ecc4c4acb5,"[""misc""]","[""vocabulary""]",[],covers,countable,A1,noun,"[""vocabulary""]",,,Cover
0315025d-cc71-4803-b40d-b29a5db49887,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/88a3254c-594e-412c-936a-c5916ac40def-rhino.png,https://vmqvhzghfbwcfnxittta.supabase.co/storage/v1/object/public/lesson_media/8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/88a3254c-594e-412c-936a-c5916ac40def-rhino.png,rhino.png,image/png,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f,2026-05-02 10:10:06.303409+00,105ee644c444372eea4dfbf565d709af02f319a8a841a2cd7500ea980f9bc2a2,0018f888cad8d000,"[""animals"",""zoo""]","[""flashcard"",""vocabulary""]",[],rhinos,countable,A2,noun,"[""vocabulary""]",,,Rhino
04d8272d-b722-4547-95e6-314a6e27b89f,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/27390b60-c987-497f-aded-69cc9709365e-wolf.png,https://vmqvhzghfbwcfnxittta.supabase.co/storage/v1/object/public/lesson_media/8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/27390b60-c987-497f-aded-69cc9709365e-wolf.png,wolf.png,image/png,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f,2026-05-02 10:08:22.202292+00,b8782338b9385b256f9471f54053ec49e235633798142bac68a1c35722edbc17,0a4ce0d8c8d8c80c,"[""animals"",""zoo""]","[""flashcard"",""vocabulary""]",[],wolves,countable,A1,noun,"[""vocabulary""]",,Irregular plural: wolves.,Wolf
052c4278-72ce-435d-8798-627362283179,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/e518a1d1-56ec-4a74-b6ce-72c7c564d95a-student_3.png,https://vmqvhzghfbwcfnxittta.supabase.co/storage/v1/object/public/lesson_media/8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/e518a1d1-56ec-4a74-b6ce-72c7c564d95a-student_3.png,student 3.png,image/png,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f,2026-04-25 06:07:28.238423+00,,,"[""people""]","[""characters"",""vocabulary""]",[],students,countable,A1,noun,"[""vocabulary""]",,,Student
05b8663d-e9b8-4b00-9b97-87b766a77b5b,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/28481c49-8097-45e6-b141-2059bb83d325-cell.png,https://vmqvhzghfbwcfnxittta.supabase.co/storage/v1/object/public/lesson_media/8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/28481c49-8097-45e6-b141-2059bb83d325-cell.png,cell.png,image/png,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f,2026-04-30 09:07:59.410989+00,86184e17483d70c99593c787f8cd05e05a0cf40a9bc6416c884688ca069e657c,000e373963534d00,"[""body""]","[""vocabulary""]",[],cells,countable,A1,noun,"[""vocabulary""]",,,Cell
06843bf9-22b1-4a88-a15e-db6cdf6573a2,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/f688abb6-e07c-48aa-90b7-3d8cd7387957-otter.png,https://vmqvhzghfbwcfnxittta.supabase.co/storage/v1/object/public/lesson_media/8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/f688abb6-e07c-48aa-90b7-3d8cd7387957-otter.png,otter.png,image/png,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f,2026-05-02 10:09:46.661604+00,633d42047220eb6ae57388c2de157058f683374e5ded2c935be81c61d1c75408,18181c3c34f8f060,"[""animals"",""marine"",""zoo""]","[""flashcard"",""vocabulary""]",[],otters,countable,A1,noun,"[""vocabulary""]",,,Otter
07678935-8d03-401b-ad03-83044ab80baf,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/58e0c7e1-caf5-489b-9691-bada2ce782e4-4.png,https://vmqvhzghfbwcfnxittta.supabase.co/storage/v1/object/public/lesson_media/8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/58e0c7e1-caf5-489b-9691-bada2ce782e4-4.png,4.png,image/png,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f,2026-04-23 15:48:49.839339+00,,,"[""numbers""]","[""vocabulary""]",[],s,countable,A1,noun,"[""vocabulary""]",,,
08197b25-cf49-4609-9969-e13027049608,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/f96452c5-39cd-4efe-8790-98a0cfb772fd-astronaut.png,https://vmqvhzghfbwcfnxittta.supabase.co/storage/v1/object/public/lesson_media/8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/f96452c5-39cd-4efe-8790-98a0cfb772fd-astronaut.png,astronaut.png,image/png,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f,2026-04-30 18:42:17.670189+00,8d02433c6d989f5ea3fb6b77d741ab33d082c0474dc40f55408fdffc08c4d8f0,083333161e2e0e0c,"[""jobs"",""people""]","[""characters"",""vocabulary""]",[],astronauts,countable,A2,noun,"[""vocabulary""]",,,Astronaut
08924aa7-5db8-4eb7-9050-501fcbed0929,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/80912ace-4689-464d-9499-40da493db583-mouth.png,https://vmqvhzghfbwcfnxittta.supabase.co/storage/v1/object/public/lesson_media/8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/80912ace-4689-464d-9499-40da493db583-mouth.png,mouth.png,image/png,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f,2026-04-30 18:40:02.964274+00,c01ac30d643e4100cb882275d2f57acc2727511d58cf9e027cc69e320d207c94,000fb2c0d4d40f00,"[""body""]","[""vocabulary""]",[],mouths,countable,A1,noun,"[""vocabulary""]",,,Mouth
0893a03b-953f-4f8a-a009-bdc974ac7f9d,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/17510e03-967c-45ea-94ec-757cd2f6994b-t-shirt.png,https://vmqvhzghfbwcfnxittta.supabase.co/storage/v1/object/public/lesson_media/8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/17510e03-967c-45ea-94ec-757cd2f6994b-t-shirt.png,t-shirt.png,image/png,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f,2026-04-30 18:40:47.404814+00,3871993e58de5d8d9bad3ccde1ec8d0dba0f6c2a5c3872dcc7576d5324946f5b,00334f0707160e00,"[""clothes""]","[""vocabulary""]",[],shirts,countable,A1,noun,"[""vocabulary""]",,,Shirt
08aca67a-1c31-49f4-9529-a6d2961ab8b2,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/03aec9a0-de32-404c-a711-0f154209d0dc-head.png,https://vmqvhzghfbwcfnxittta.supabase.co/storage/v1/object/public/lesson_media/8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f/03aec9a0-de32-404c-a711-0f154209d0dc-head.png,head.png,image/png,8b0f1d53-aeb0-42e0-af1c-b1d07bffc02f,2026-04-30 18:39:55.345361+00,f5d4735116068f7c908465ec319ac843139c1900fd16ac7e42582d4ddc298f80,182547c683030f08,"[""body""]","[""vocabulary""]",[],heads,countable,A1,noun,"[""vocabulary""]",,,Head
